guide_path,category,guide_slug,order,type,source_id,source_url,target_path,target_filename
guides/ru/adventure/Story.md,adventure,story,4,image,1132868660290130070,https://cdn.discordapp.com/attachments/1125732072456196169/1132868660290130070/image.png?ex=69e249e8&is=69e0f868&hm=fe08456bf9805ee55e46ecf3f79b9dfcd4617635aefe19c0778fc406aae16a0d&,assets/media/by-guide/adventure/story/004_image_1132868660290130070.png,004_image_1132868660290130070.png
guides/ru/adventure/Story.md,adventure,story,5,image,1260063297256951918,https://cdn.discordapp.com/attachments/1125732072456196169/1260063297256951918/image.png?ex=69e246a4&is=69e0f524&hm=a4d205b3dc988ad66de6ac5b9e0d8a09a796ecc62dde959f146cd1d35ca5c2da&,assets/media/by-guide/adventure/story/005_image_1260063297256951918.png,005_image_1260063297256951918.png
guides/ru/adventure/Story.md,adventure,story,6,image,1399603796304334869,https://cdn.discordapp.com/attachments/1125732072456196169/1399603796304334869/image.png?ex=69e25a5c&is=69e108dc&hm=45dd5ead35af533081d4977b7e1ed753b0a3c1016f1293377aee8abfdf51a837&,assets/media/by-guide/adventure/story/006_image_1399603796304334869.png,006_image_1399603796304334869.png
guides/ru/Beginner-guide/Path_Of_Suggested_Progression.md,Beginner-guide,path_of_suggested_progression,1,image,1380060518189891604,https://cdn.discordapp.com/attachments/1266503499009753110/1380060518189891604/eventspending_guide_updated.png?ex=69e1c983&is=69e07803&hm=8eb66a01e9af73f631293565df7b76e393bf08c6715208d9d200920f8ec4e1e9&,assets/media/by-guide/Beginner-guide/path_of_suggested_progression/001_image_1380060518189891604.png,001_image_1380060518189891604.png
guides/ru/Beginner-guide/Path_Of_Suggested_Progression.md,Beginner-guide,path_of_suggested_progression,2,image,1349197221496885309,https://cdn.discordapp.com/emojis/1349197221496885309.webp?size=48&animated=true&name=orr24&lossless=true,assets/media/by-guide/Beginner-guide/path_of_suggested_progression/002_image_1349197221496885309.webp,002_image_1349197221496885309.webp
guides/ru/Beginner-guide/Path_Of_Suggested_Progression.md,Beginner-guide,path_of_suggested_progression,3,image,1349197221496885309,https://cdn.discordapp.com/emojis/1349197221496885309.webp?size=48&animated=true&name=orr24&lossless=true,assets/media/by-guide/Beginner-guide/path_of_suggested_progression/003_image_1349197221496885309.webp,003_image_1349197221496885309.webp
guides/ru/Beginner-guide/Path_Of_Suggested_Progression.md,Beginner-guide,path_of_suggested_progression,4,image,1349197221496885309,https://cdn.discordapp.com/emojis/1349197221496885309.webp?size=48&animated=true&name=orr24&lossless=true,assets/media/by-guide/Beginner-guide/path_of_suggested_progression/004_image_1349197221496885309.webp,004_image_1349197221496885309.webp
guides/ru/Beginner-guide/Path_Of_Suggested_Progression.md,Beginner-guide,path_of_suggested_progression,5,image,1349197221496885309,https://cdn.discordapp.com/emojis/1349197221496885309.webp?size=48&animated=true&name=orr24&lossless=true,assets/media/by-guide/Beginner-guide/path_of_suggested_progression/005_image_1349197221496885309.webp,005_image_1349197221496885309.webp
"guides/ru/Beginner-guide/Rage_+_Rave_(Early),_Late_Game_Rotation_(Late).md",Beginner-guide,rage_rave_early_late_game_rotation_late,1,video,1266503160097406986,https://cdn.discordapp.com/attachments/1266502911324721335/1266503160097406986/video15.mp4?ex=69e1f93b&is=69e0a7bb&hm=37419433dcdc26c9b7fc73f9b14a48a728098ead77778b2bed7cb1aa45f11aff&,assets/media/by-guide/Beginner-guide/rage_rave_early_late_game_rotation_late/001_video_1266503160097406986.mp4,001_video_1266503160097406986.mp4
"guides/ru/Beginner-guide/Rage_+_Rave_(Early),_Late_Game_Rotation_(Late).md",Beginner-guide,rage_rave_early_late_game_rotation_late,2,video,1266503189138505728,https://cdn.discordapp.com/attachments/1266502911324721335/1266503189138505728/WoGRaveWG.mp4?ex=69e1f942&is=69e0a7c2&hm=8607657b54d6bbc2ca325510b77c813bafd1dfeee54c766cb220186f05cc8242&,assets/media/by-guide/Beginner-guide/rage_rave_early_late_game_rotation_late/002_video_1266503189138505728.mp4,002_video_1266503189138505728.mp4
